slug,name,kana,category,tagline,description,area,address,access,hours,holiday,tel,budget,features,website,instagram,plan,publishedAt,draft
mito-cafe-hitohira,珈琲 ひとひら,HITOHIRA,eat,水戸の路地裏、静かな自家焙煎の一杯。,水戸市の中心街から一本入った路地にある自家焙煎の喫茶店。深煎りのブレンドと自家製プリンが評判。,水戸市,茨城県水戸市泉町X-XX,水戸駅北口から徒歩10分,10:00–19:00,水曜,,¥500–1200,自家焙煎｜Wi-Fiあり｜電源あり｜テイクアウト可,,,free,2026-07-20,true
mito-teishoku-kagari,定食 かがり,KAGARI,eat,常陸秋そばと地魚の、まっとうな定食屋。,水戸市で30年続く定食屋。日替わりの焼き魚定食と常陸秋そばが人気。地元の常連で賑わう。,水戸市,茨城県水戸市南町X-X-X,水戸駅から車で7分,11:00–14:00 / 17:00–21:00,日曜,,¥800–1500,ランチあり｜駐車場あり｜お一人様歓迎,,,free,2026-07-20,true
hitachinaka-bakery-umi,海辺のパン屋 umi,UMI,eat,那珂湊の朝を焼く、小さなベーカリー。,ひたちなか市・那珂湊のパン屋。国産小麦と自家製酵母で焼くハード系が看板。海帰りに寄る人多数。,ひたちなか市,茨城県ひたちなか市和田町X-X,那珂湊駅から徒歩8分,7:30–16:00,月曜・火曜,,¥300–800,自家製酵母｜テイクアウト可｜駐車場あり,,,free,2026-07-21,true
tsuchiura-ramen-hanabi,らーめん 華火,HANABI,eat,土浦の夜を照らす、濃厚魚介つけ麺。,土浦市の環境で愛される濃厚魚介つけ麺の店。特製の全部乗せと和え玉が名物。,土浦市,茨城県土浦市大和町X-X,土浦駅西口から徒歩5分,11:00–15:00 / 18:00–22:00,火曜,,¥900–1400,行列店｜和え玉あり｜駐車場あり,,,free,2026-07-21,true
kasama-gallery-tsuchiiro,ギャラリー土色,TSUCHIIRO,life,笠間焼を暮らしに。作家ものの器店。,笠間市の器店。地元作家の笠間焼を中心に、日々使いの器を扱う。企画展も随時開催。,笠間市,茨城県笠間市笠間X-XX,笠間駅から車で6分,10:00–17:00,木曜,,,作家もの｜企画展あり｜駐車場あり,,,free,2026-07-22,true
oarai-fish-market-isohei,魚屋 磯平,ISOHEI,life,大洗港直送、朝どれの鮮魚と干物。,大洗町の鮮魚店。港から直送の朝どれ鮮魚と自家製干物が並ぶ。地方発送も対応。,大洗町,茨城県東茨城郡大洗町磯浜町X-X,大洗駅から車で5分,8:00–17:00,水曜,,,朝どれ｜地方発送可｜駐車場あり,,,free,2026-07-22,true
tsukuba-sauna-mori,サウナ 森の音,MORINONE,sauna-play,筑波の森で、静かにととのう。,つくば市郊外、林に囲まれたサウナ施設。薪ストーブのセルフロウリュと井戸水の水風呂が自慢。,つくば市,茨城県つくば市大穂X-XX,つくば駅から車で15分,10:00–22:00,不定休,,¥1500,セルフロウリュ｜外気浴｜駐車場あり｜タオルレンタル,,,free,2026-07-23,true
hitachi-park-cycle,海浜サイクル基地,KAICHU CYCLE,sauna-play,ひたち海浜公園を、風になって走る。,ひたち海浜公園周辺のレンタサイクル拠点。電動アシストも用意。花畑シーズンは特に人気。,ひたちなか市,茨城県ひたちなか市馬渡X-X,勝田駅からバス15分,9:00–17:00,期間により変動,,¥600–,レンタルあり｜電動あり｜ファミリー向け,,,free,2026-07-23,true
tsukuba-salon-koharu,美容室 こはる,KOHARU,beauty,つくばの、通いたくなる街の美容室。,つくば市の住宅街にある小さな美容室。丁寧なカウンセリングと似合わせカットで地元客に支持される。,つくば市,茨城県つくば市二の宮X-X,つくば駅から車で6分,9:00–18:00,月曜,,¥4000–,個室あり｜駐車場あり｜キッズ歓迎,,,free,2026-07-24,true
mito-relax-nagomi,リラクゼーション なごみ,NAGOMI,beauty,水戸で見つけた、深呼吸できる隠れ家。,水戸市のアロマトリートメント専門店。オーダーメイドのオイルトリートメントで心身をほぐす。,水戸市,茨城県水戸市三の丸X-X,水戸駅北口から徒歩12分,10:00–20:00,火曜,,¥6000–,完全予約制｜個室あり｜女性専用,,,free,2026-07-24,true
daigo-inn-takimi,滝見の宿 大子屋,DAIGOYA,stay,袋田の滝を望む、湯けむりの一軒宿。,大子町、袋田の滝にほど近い温泉旅館。四季折々の渓谷美と地の食材を使った会席が評判。,大子町,茨城県久慈郡大子町袋田X-XX,袋田駅から車で7分,チェックイン15:00,,,¥12000–,温泉｜露天風呂｜送迎あり｜駐車場あり,,,free,2026-07-25,true
kitaibaraki-inn-isoyado,磯宿 なぎさ亭,NAGISATEI,stay,五浦海岸、波音で目覚める朝。,北茨城市・五浦海岸の磯料理宿。目の前の海で獲れたあんこうやウニを味わえる。,北茨城市,茨城県北茨城市大津町X-X,大津港駅から車で8分,チェックイン15:00,,,¥15000–,オーシャンビュー｜磯料理｜温泉｜駐車場あり,,,free,2026-07-25,true
